start_time,hour,day,week,month,year,weekday
2018-11-07T23:11:50.796-02:00,23,7,45,11,2018,4
2018-11-07T23:15:02.796-02:00,23,7,45,11,2018,4
2018-11-07T23:17:52.796-02:00,23,7,45,11,2018,4
2018-11-07T23:22:25.796-02:00,23,7,45,11,2018,4
2018-11-07T23:26:18.796-02:00,23,7,45,11,2018,4
2018-11-07T23:28:18.796-02:00,23,7,45,11,2018,4
2018-11-07T23:30:55.796-02:00,23,7,45,11,2018,4
2018-11-07T23:35:35.796-02:00,23,7,45,11,2018,4
2018-11-07T23:38:19.796-02:00,23,7,45,11,2018,4
2018-11-07T23:39:40.796-02:00,23,7,45,11,2018,4
2018-11-08T01:48:12.796-02:00,1,8,45,11,2018,5
2018-11-08T01:54:39.796-02:00,1,8,45,11,2018,5
2018-11-08T01:58:26.796-02:00,1,8,45,11,2018,5
2018-11-08T02:01:31.796-02:00,2,8,45,11,2018,5
2018-11-08T04:23:19.796-02:00,4,8,45,11,2018,5
2018-11-08T04:27:12.796-02:00,4,8,45,11,2018,5
2018-11-08T05:00:00.796-02:00,5,8,45,11,2018,5
2018-11-08T05:15:23.796-02:00,5,8,45,11,2018,5
2018-11-08T05:18:38.796-02:00,5,8,45,11,2018,5
2018-11-08T05:22:13.796-02:00,5,8,45,11,2018,5
2018-11-08T05:37:20.796-02:00,5,8,45,11,2018,5
2018-11-08T05:41:08.796-02:00,5,8,45,11,2018,5
2018-11-08T05:44:52.796-02:00,5,8,45,11,2018,5
2018-11-08T05:48:34.796-02:00,5,8,45,11,2018,5
2018-11-08T05:52:33.796-02:00,5,8,45,11,2018,5
2018-11-08T05:56:22.796-02:00,5,8,45,11,2018,5
2018-11-08T06:01:06.796-02:00,6,8,45,11,2018,5
2018-11-08T06:20:27.796-02:00,6,8,45,11,2018,5
2018-11-08T06:25:02.796-02:00,6,8,45,11,2018,5
2018-11-08T06:28:59.796-02:00,6,8,45,11,2018,5
2018-11-08T06:33:42.796-02:00,6,8,45,11,2018,5
2018-11-08T06:36:13.796-02:00,6,8,45,11,2018,5
2018-11-08T06:38:10.796-02:00,6,8,45,11,2018,5
2018-11-08T06:40:39.796-02:00,6,8,45,11,2018,5
2018-11-08T06:46:24.796-02:00,6,8,45,11,2018,5
2018-11-08T06:50:49.796-02:00,6,8,45,11,2018,5
2018-11-08T06:54:18.796-02:00,6,8,45,11,2018,5
2018-11-08T06:57:13.796-02:00,6,8,45,11,2018,5
2018-11-08T07:00:55.796-02:00,7,8,45,11,2018,5
2018-11-08T07:07:09.796-02:00,7,8,45,11,2018,5
2018-11-08T07:11:24.796-02:00,7,8,45,11,2018,5
2018-11-08T07:15:31.796-02:00,7,8,45,11,2018,5
2018-11-08T07:19:40.796-02:00,7,8,45,11,2018,5
2018-11-08T07:23:08.796-02:00,7,8,45,11,2018,5
2018-11-08T07:26:33.796-02:00,7,8,45,11,2018,5
2018-11-08T07:29:02.796-02:00,7,8,45,11,2018,5
2018-11-08T07:32:10.796-02:00,7,8,45,11,2018,5
