start_time,hour,day,week,month,year,weekday
2018-11-15T19:14:54.796-02:00,19,15,46,11,2018,5
2018-11-21T11:23:15.796-02:00,11,21,47,11,2018,4
2018-11-13T22:37:10.796-02:00,22,13,46,11,2018,3
2018-11-14T05:08:14.796-02:00,5,14,46,11,2018,4
2018-11-14T08:48:35.796-02:00,8,14,46,11,2018,4
2018-11-28T06:37:52.796-02:00,6,28,48,11,2018,4
2018-11-05T03:51:57.796-02:00,3,5,45,11,2018,2
2018-11-13T08:22:14.796-02:00,8,13,46,11,2018,3
2018-11-13T19:26:30.796-02:00,19,13,46,11,2018,3
2018-11-30T03:31:44.796-02:00,3,30,48,11,2018,6
2018-11-30T12:51:37.796-02:00,12,30,48,11,2018,6
2018-11-16T07:21:06.796-02:00,7,16,46,11,2018,6
2018-11-20T07:37:03.796-02:00,7,20,47,11,2018,3
2018-11-24T02:26:04.796-02:00,2,24,47,11,2018,7
2018-11-24T12:29:47.796-02:00,12,24,47,11,2018,7
2018-11-29T14:15:34.796-02:00,14,29,48,11,2018,5
2018-11-29T19:19:18.796-02:00,19,29,48,11,2018,5
2018-11-19T03:07:36.796-02:00,3,19,47,11,2018,2
2018-11-19T08:58:02.796-02:00,8,19,47,11,2018,2
2018-11-27T21:40:12.796-02:00,21,27,48,11,2018,3
2018-11-23T12:53:55.796-02:00,12,23,47,11,2018,6
2018-11-23T18:38:41.796-02:00,18,23,47,11,2018,6
2018-11-26T12:56:08.796-02:00,12,26,48,11,2018,2
2018-11-26T16:43:36.796-02:00,16,26,48,11,2018,2
2018-11-08T18:35:14.796-02:00,18,8,45,11,2018,5
2018-11-12T15:25:19.796-02:00,15,12,46,11,2018,2
2018-11-02T12:33:24.796-03:00,12,2,44,11,2018,6
2018-11-02T17:37:03.796-03:00,17,2,44,11,2018,6
2018-11-18T15:57:05.796-02:00,15,18,46,11,2018,1
