artist_id,name,location,latitude,longitude
ARJNVPB12454A3E0B8,José Alfredo Jimenez Con Acompañamiento Del Mariachi Vargas De Tecalitlan,"Dolores Hidalgo, Guanajuato, Mexi",21.14836,-100.91879
AREL9341187FB5A382,Robert Calvert,"Pretoria, South Africa",-25.7458,28.18759
ARXTG3Q1187FB598E9,Jeremy Camp,"Lafayette, IN",36.16778,-86.77836
ARME7101187FB3ECDD,DJ Shadow,"Hayward, CA",37.67119,-122.08613
ARM6T8I1187FB36CC8,Luis Miguel,"San Juan, Puerto Rico","",""
AR6PETN1187B998AA2,SAUCE MONEY FEATURING MAVERICK,"BROOKLYN, New York","",""
ARKP69U1187FB4F210,This Beautiful Republic,"Toledo, OH","",""
AR4L4WQ1187FB51996,The Prodigy,"Braintree, Essex, England","",""
ARCT4M21187B9AD1D8,Jim Gaffigan,NY - New York City,"",""
ARDCX511187B9A9733,Dawn of Relic,"","",""
AR0IU4L1187FB4CCB9,Atomic Kitten Featuring Kool & The Gang,"Liverpool, England",53.40977,-2.97848
ARQFM4I1187B9985A4,Evan Olson,North Carolina,35.21962,-80.01955
ARK8EHO1187B9B71D1,The Shamen,"Aberdeen, Scotland",57.15382,-2.10679
ARMD4N91187B99A2A8,The Church,"Sydney, Australia",-33.86963,151.20695
AR3Q98N1187B9B914E,Flaco Jimenez feat. Dwight Yoakam,"San Antonio, TX",29.42449,-98.49462
ARBBCD01187B990EF4,Training For Utopia,"","",""
ARVBV0V1187B9A7678,"Lisa \"Left Eye\" Lopes","Philadelphia, PA",39.95227,-75.16237
ARO4NIA1187B9B8289,Julie London,"Santa Rosa, CA",38.43773,-122.71242
ARSZWK21187B9B26D7,The Lovin' Spoonful,"New York, NY, United States",40.71455,-74.00712
AR4503S1187FB43199,Danity Kane,"","",""
AR086UB1187B994281,Czech Philharmonic Orchestra,"","",""
ARQG4O41187B98A03B,RJD2,"Eugene, OR",39.96196,-83.00298
ARBEBBY1187B9B43DB,Tom Petty And The Heartbreakers,"Gainesville, FL","",""
AR62EDZ1187B9AC433,The Ray Hamilton Orchestra,"","",""
ARBFDJW1187B9AD27A,The Fabulous Thunderbirds,"Austin, TX",30.2676,-97.74298
ARKJS6R1187FB46324,Kenny Garrett,"Detroit, MI",42.33168,-83.04792
ARYNUG411A348F0720,E For Explosion,"Guthrie, KY",36.64849,-87.16633
ARGMRRK1187FB5BE1F,Dean Elliott And His Big Band,"","",""
ARJN6JS1187FB452BF,Elizabeth Mitchell,NY - New York City,40.71455,-74.00712
AR3OGLT1187FB43A94,Juliette Gréco,"Montpellier, France","",""
ARXZAV31187FB3CE61,Academy/Marriner,"","",""
AR3MSAN1187B98F06B,OutKast featuring George Clinton,"Atlanta, GA",33.74831,-84.39111
ARWDRZU11F50C49720,Siouxsie And The Banshees,"London, England",51.50632,-0.12714
ARB0I1F1187FB42C5B,Paul Brady,"Strabane, Co. Tyrone, Northern Ir",54.82493,-7.46751
ARBTQ6W1187FB38032,Timbuk 3,"Austin, TX",30.2676,-97.74298
ART568W1187B98C73E,Stephen Bishop,"San Diego, CA",39.14527,-75.41876
AREFZF31187B998A93,Po' Girl,"East Vancouver, B.C., Canada",54.49887,-126.55071
AR16V6G1187FB56192,The Helio Sequence,"Portland, OR",45.51179,-122.67563
ARMTE8E1187FB5ACC2,Johnny Copeland,"Haynesville, LA",32.96197,-93.13913
ARXO8BW1187B9A3F83,Joe Strummer,"Ankara, Turkey",39.94293,32.86048
AREY11W1187FB36FBD,STEVE TAYLOR,Denver CO,39.74001,-104.99226
ARPBNLO1187FB3D52F,Tiny Tim,"New York, NY",40.71455,-74.00712
ARZYSCW1187FB52DF7,Marcos Valle,"Rio de Janeiro, Brazil",-22.97673,-43.19508
AR561XE1187B9B0F1B,Altan,Ireland,53.41961,-8.24055
ARYN2HS1187FB4CD67,Archers Of Loaf,"Chapel Hill, NC",35.91463,-79.05661
AREGFTR1187FB5A8FB,Jack Jones,"Los Angeles, CA",34.05349,-118.24532
ARTFT6P1187FB4ACBE,Los Enanitos Verdes,"Mendoza, Argentina",-32.89123,-68.83955
ARTXGGI1187B9B3D58,Blackalicious,"Davis, CA",38.54666,-121.74477
ARQ6PLP1187FB468E3,Robin McKelle,California - LA,"",""
AROMY9Y1187B98BC83,Love Of Diagrams,"Melbourne, Australia",-37.81753,144.96715
ARS12GA1187FB57CD4,Sophie Ellis-Bextor,"London, England",51.50632,-0.12714
