start_time,hour,day,week,month,year,weekday
2018-11-14T22:30:26.796-02:00,22,14,46,11,2018,4
2018-11-14T22:41:21.796-02:00,22,14,46,11,2018,4
2018-11-14T22:45:41.796-02:00,22,14,46,11,2018,4
2018-11-15T01:44:09.796-02:00,1,15,46,11,2018,5
2018-11-15T03:48:55.796-02:00,3,15,46,11,2018,5
2018-11-15T03:53:44.796-02:00,3,15,46,11,2018,5
2018-11-15T03:55:56.796-02:00,3,15,46,11,2018,5
2018-11-15T04:01:02.796-02:00,4,15,46,11,2018,5
2018-11-15T04:07:37.796-02:00,4,15,46,11,2018,5
2018-11-15T04:10:33.796-02:00,4,15,46,11,2018,5
2018-11-15T04:13:54.796-02:00,4,15,46,11,2018,5
2018-11-15T04:14:16.796-02:00,4,15,46,11,2018,5
2018-11-15T04:17:59.796-02:00,4,15,46,11,2018,5
2018-11-15T04:18:48.796-02:00,4,15,46,11,2018,5
2018-11-15T04:21:33.796-02:00,4,15,46,11,2018,5
2018-11-15T04:25:58.796-02:00,4,15,46,11,2018,5
2018-11-15T04:29:38.796-02:00,4,15,46,11,2018,5
2018-11-15T05:08:36.796-02:00,5,15,46,11,2018,5
2018-11-15T05:12:09.796-02:00,5,15,46,11,2018,5
2018-11-15T05:28:47.796-02:00,5,15,46,11,2018,5
2018-11-15T05:31:55.796-02:00,5,15,46,11,2018,5
2018-11-15T05:35:51.796-02:00,5,15,46,11,2018,5
2018-11-15T05:41:05.796-02:00,5,15,46,11,2018,5
2018-11-15T05:43:35.796-02:00,5,15,46,11,2018,5
2018-11-15T05:47:23.796-02:00,5,15,46,11,2018,5
2018-11-15T05:50:05.796-02:00,5,15,46,11,2018,5
2018-11-15T05:51:04.796-02:00,5,15,46,11,2018,5
2018-11-15T05:56:18.796-02:00,5,15,46,11,2018,5
2018-11-15T07:39:43.796-02:00,7,15,46,11,2018,5
2018-11-15T07:50:22.796-02:00,7,15,46,11,2018,5
2018-11-15T07:54:18.796-02:00,7,15,46,11,2018,5
2018-11-15T07:58:34.796-02:00,7,15,46,11,2018,5
2018-11-15T08:02:54.796-02:00,8,15,46,11,2018,5
2018-11-15T08:07:08.796-02:00,8,15,46,11,2018,5
2018-11-15T08:07:36.796-02:00,8,15,46,11,2018,5
2018-11-15T08:11:00.796-02:00,8,15,46,11,2018,5
2018-11-15T08:11:16.796-02:00,8,15,46,11,2018,5
